date,count,table
2018-01-01,3436,total unique individuals in hra facilities
2018-02-01,3477,total unique individuals in hra facilities
2018-03-01,3414,total unique individuals in hra facilities
2018-04-01,3414,total unique individuals in hra facilities
2018-05-01,3578,total unique individuals in hra facilities
2018-06-01,3556,total unique individuals in hra facilities
2018-07-01,3541,total unique individuals in hra facilities
2018-08-01,3578,total unique individuals in hra facilities
2018-09-01,3389,total unique individuals in hra facilities
2018-10-01,349,total unique individuals in dycd facilities
2018-10-01,2110,total unique individuals in hpd facilities
2018-10-01,3470,total unique individuals in hra facilities
2018-11-01,260,total unique individuals in dycd facilities
2018-11-01,2057,total unique individuals in hpd facilities
2018-11-01,3302,total unique individuals in hra facilities
2018-12-01,267,total unique individuals in dycd facilities
2018-12-01,2017,total unique individuals in hpd facilities
2018-12-01,3315,total unique individuals in hra facilities
2019-01-01,63614,total unique individuals in dhs facilities
2019-01-01,291,total unique individuals in dycd facilities
2019-01-01,2048,total unique individuals in hpd facilities
2019-01-01,3372,total unique individuals in hra facilities
2019-02-01,66416,total unique individuals in dhs facilities
2019-02-01,315,total unique individuals in dycd facilities
2019-02-01,2186,total unique individuals in hpd facilities
2019-02-01,3375,total unique individuals in hra facilities
2019-03-01,62858,total unique individuals in dhs facilities
2019-03-01,342,total unique individuals in dycd facilities
2019-03-01,2126,total unique individuals in hpd facilities
2019-03-01,3428,total unique individuals in hra facilities
2019-04-01,62423,total unique individuals in dhs facilities
2019-04-01,368,total unique individuals in dycd facilities
2019-04-01,2147,total unique individuals in hpd facilities
2019-04-01,3446,total unique individuals in hra facilities
2019-05-01,60899,total unique individuals in dhs facilities
2019-05-01,360,total unique individuals in dycd facilities
2019-05-01,2040,total unique individuals in hpd facilities
2019-05-01,13591,total unique individuals in hra facilities
2019-06-01,60640,total unique individuals in dhs facilities
2019-06-01,323,total unique individuals in dycd facilities
2019-06-01,2005,total unique individuals in hpd facilities
2019-06-01,3519,total unique individuals in hra facilities
2019-07-01,61375,total unique individuals in dhs facilities
2019-07-01,870,total unique individuals in dycd facilities
2019-07-01,2005,total unique individuals in hpd facilities
2019-07-01,3701,total unique individuals in hra facilities
2019-08-01,62358,total unique individuals in dhs facilities
2019-08-01,402,total unique individuals in dycd facilities
2019-08-01,2156,total unique individuals in hpd facilities
2019-08-01,3774,total unique individuals in hra facilities
2019-09-01,62348,total unique individuals in dhs facilities
2019-09-01,384,total unique individuals in dycd facilities
2019-09-01,2095,total unique individuals in hpd facilities
2019-09-01,3821,total unique individuals in hra facilities
2019-10-01,52239,total unique individuals in dhs facilities
2019-10-01,352,total unique individuals in dycd facilities
2019-10-01,2152,total unique individuals in hpd facilities
2019-10-01,3826,total unique individuals in hra facilities
2019-11-01,62086,total unique individuals in dhs facilities
2019-11-01,357,total unique individuals in dycd facilities
2019-11-01,2003,total unique individuals in hpd facilities
2019-11-01,3760,total unique individuals in hra facilities
2019-12-01,61963,total unique individuals in dhs facilities
2019-12-01,364,total unique individuals in dycd facilities
2019-12-01,2041,total unique individuals in hpd facilities
2019-12-01,NA,total unique individuals in hra facilities
2020-01-01,62316,total unique individuals in dhs facilities
2020-01-01,447,total unique individuals in dycd facilities
2020-01-01,2101,total unique individuals in hpd facilities
2020-01-01,NA,total unique individuals in hra facilities
2020-02-01,61386,total unique individuals in dhs facilities
2020-02-01,367,total unique individuals in dycd facilities
2020-02-01,2059,total unique individuals in hpd facilities
2020-02-01,NA,total unique individuals in hra facilities
2020-03-01,60279,total unique individuals in dhs facilities
2020-03-01,333,total unique individuals in dycd facilities
2020-03-01,1914,total unique individuals in hpd facilities
2020-03-01,NA,total unique individuals in hra facilities
2020-04-01,57785,total unique individuals in dhs facilities
2020-04-01,181,total unique individuals in dycd facilities
2020-04-01,1201,total unique individuals in hpd facilities
2020-04-01,NA,total unique individuals in hra facilities
2020-05-01,57460,total unique individuals in dhs facilities
2020-05-01,238,total unique individuals in dycd facilities
2020-05-01,1186,total unique individuals in hpd facilities
2020-05-01,NA,total unique individuals in hra facilities
2020-06-01,56873,total unique individuals in dhs facilities
2020-06-01,260,total unique individuals in dycd facilities
2020-06-01,1157,total unique individuals in hpd facilities
2020-06-01,3717,total unique individuals in hra facilities
2020-07-01,56613,total unique individuals in dhs facilities
2020-07-01,343,total unique individuals in dycd facilities
2020-07-01,1080,total unique individuals in hpd facilities
2020-07-01,3661,total unique individuals in hra facilities
2020-08-01,56323,total unique individuals in dhs facilities
2020-08-01,322,total unique individuals in dycd facilities
2020-08-01,1091,total unique individuals in hpd facilities
2020-08-01,3697,total unique individuals in hra facilities
2020-09-01,56140,total unique individuals in dhs facilities
2020-09-01,319,total unique individuals in dycd facilities
2020-09-01,1144,total unique individuals in hpd facilities
2020-09-01,3849,total unique individuals in hra facilities
2020-10-01,55970,total unique individuals in dhs facilities
2020-10-01,351,total unique individuals in dycd facilities
2020-10-01,1144,total unique individuals in hpd facilities
2020-10-01,3664,total unique individuals in hra facilities
2020-11-01,55575,total unique individuals in dhs facilities
2020-11-01,268,total unique individuals in dycd facilities
2020-11-01,1115,total unique individuals in hpd facilities
2020-11-01,3546,total unique individuals in hra facilities
2020-12-01,55567,total unique individuals in dhs facilities
2020-12-01,303,total unique individuals in dycd facilities
2020-12-01,1091,total unique individuals in hpd facilities
2020-12-01,3555,total unique individuals in hra facilities
2021-01-01,55238,total unique individuals in dhs facilities
2021-01-01,257,total unique individuals in dycd facilities
2021-01-01,1057,total unique individuals in hpd facilities
2021-01-01,3675,total unique individuals in hra facilities
2021-02-01,54068,total unique individuals in dhs facilities
2021-02-01,281,total unique individuals in dycd facilities
2021-02-01,1079,total unique individuals in hpd facilities
2021-02-01,3582,total unique individuals in hra facilities
2021-03-01,53940,total unique individuals in dhs facilities
2021-03-01,315,total unique individuals in dycd facilities
2021-03-01,1150,total unique individuals in hpd facilities
2021-03-01,3807,total unique individuals in hra facilities
2021-04-01,52484,total unique individuals in dhs facilities
2021-04-01,317,total unique individuals in dycd facilities
2021-04-01,1160,total unique individuals in hpd facilities
2021-04-01,3527,total unique individuals in hra facilities
2021-05-01,51207,total unique individuals in dhs facilities
2021-05-01,331,total unique individuals in dycd facilities
2021-05-01,1175,total unique individuals in hpd facilities
2021-05-01,3368,total unique individuals in hra facilities
2021-06-01,50096,total unique individuals in dhs facilities
2021-06-01,279,total unique individuals in dycd facilities
2021-06-01,1271,total unique individuals in hpd facilities
2021-06-01,3655,total unique individuals in hra facilities
2021-07-01,48518,total unique individuals in dhs facilities
2021-07-01,373,total unique individuals in dycd facilities
2021-07-01,1215,total unique individuals in hpd facilities
2021-07-01,3642,total unique individuals in hra facilities
2021-08-01,47923,total unique individuals in dhs facilities
2021-08-01,373,total unique individuals in dycd facilities
2021-08-01,1176,total unique individuals in hpd facilities
2021-08-01,3689,total unique individuals in hra facilities
2021-09-01,331,total unique individuals in dycd facilities
2021-09-01,1180,total unique individuals in hpd facilities
2021-09-01,3760,total unique individuals in hra facilities
2021-10-01,48947,total unique individuals in dhs facilities
2021-10-01,339,total unique individuals in dycd facilities
2021-10-01,1213,total unique individuals in hpd facilities
2021-10-01,3837,total unique individuals in hra facilities
2021-11-01,49061,total unique individuals in dhs facilities
2021-11-01,319,total unique individuals in dycd facilities
2021-11-01,1192,total unique individuals in hpd facilities
2021-11-01,3699,total unique individuals in hra facilities
2021-12-01,49071,total unique individuals in dhs facilities
2021-12-01,271,total unique individuals in dycd facilities
2021-12-01,1281,total unique individuals in hpd facilities
2021-12-01,3697,total unique individuals in hra facilities
2022-01-01,49067,total unique individuals in dhs facilities
2022-01-01,308,total unique individuals in dycd facilities
2022-01-01,1691,total unique individuals in hpd facilities
2022-02-01,48622,total unique individuals in dhs facilities
2022-02-01,290,total unique individuals in dycd facilities
2022-02-01,1787,total unique individuals in hpd facilities
2022-03-01,49538,total unique individuals in dhs facilities
2022-03-01,294,total unique individuals in dycd facilities
2022-03-01,1815,total unique individuals in hpd facilities
2022-04-01,49429,total unique individuals in dhs facilities
2022-04-01,318,total unique individuals in dycd facilities
2022-04-01,1786,total unique individuals in hpd facilities
2022-04-01,3608,total unique individuals in hra facilities
2022-05-01,50223,total unique individuals in dhs facilities
2022-05-01,280,total unique individuals in dycd facilities
2022-05-01,1888,total unique individuals in hpd facilities
2022-05-01,3683,total unique individuals in hra facilities
2022-06-01,51406,total unique individuals in dhs facilities
2022-06-01,362,total unique individuals in dycd facilities
2022-06-01,1932,total unique individuals in hpd facilities
2022-06-01,3810,total unique individuals in hra facilities
2022-07-01,54085,total unique individuals in dhs facilities
2022-07-01,350,total unique individuals in dycd facilities
2022-07-01,1813,total unique individuals in hpd facilities
2022-07-01,4001,total unique individuals in hra facilities
2022-08-01,57852,total unique individuals in dhs facilities
2022-08-01,346,total unique individuals in dycd facilities
2022-08-01,1785,total unique individuals in hpd facilities
2022-08-01,4039,total unique individuals in hra facilities
2022-09-01,63502,total unique individuals in dhs facilities
2022-09-01,298,total unique individuals in dycd facilities
2022-09-01,1802,total unique individuals in hpd facilities
2022-09-01,4053,total unique individuals in hra facilities
2022-10-01,66971,total unique individuals in dhs facilities
2022-10-01,304,total unique individuals in dycd facilities
2022-10-01,1814,total unique individuals in hpd facilities
2022-10-01,4011,total unique individuals in hra facilities
2022-11-01,67073,total unique individuals in dhs facilities
2022-11-01,329,total unique individuals in dycd facilities
2022-11-01,1761,total unique individuals in hpd facilities
2022-11-01,3746,total unique individuals in hra facilities
2022-12-01,69984,total unique individuals in dhs facilities
2022-12-01,281,total unique individuals in dycd facilities
2022-12-01,1821,total unique individuals in hpd facilities
2022-12-01,3954,total unique individuals in hra facilities
2023-01-01,73921,total unique individuals in dhs facilities
2023-01-01,306,total unique individuals in dycd facilities
2023-01-01,1860,total unique individuals in hpd facilities
2023-01-01,3980,total unique individuals in hra facilities
NA,1786,total unique individuals in hpd facilities
